date,T8,T9,T10,T11,source_file
2025-08-15 19:46:20.728,26.315,26.385,26.522,26.406,uploaded:Log_192.168.77.10_2025_08_15.txt
2025-08-15 19:46:21.728,26.312,26.381,26.518,26.401,uploaded:Log_192.168.77.10_2025_08_15.txt
2025-08-15 19:46:22.729,26.309,26.376,26.514,26.397,uploaded:Log_192.168.77.10_2025_08_15.txt
2025-08-15 19:46:23.729,26.304,26.373,26.512,26.393,uploaded:Log_192.168.77.10_2025_08_15.txt
2025-08-15 19:46:24.729,26.3,26.37,26.509,26.389,uploaded:Log_192.168.77.10_2025_08_15.txt
2025-08-15 19:46:25.730,26.295,26.366,26.509,26.384,uploaded:Log_192.168.77.10_2025_08_15.txt
2025-08-15 19:46:26.731,26.291,26.362,26.509,26.381,uploaded:Log_192.168.77.10_2025_08_15.txt
2025-08-15 19:46:27.731,26.287,26.357,26.505,26.377,uploaded:Log_192.168.77.10_2025_08_15.txt
2025-08-15 19:46:28.732,26.283,26.351,26.501,26.373,uploaded:Log_192.168.77.10_2025_08_15.txt
2025-08-15 19:46:29.732,26.278,26.346,26.496,26.368,uploaded:Log_192.168.77.10_2025_08_15.txt
2025-08-15 19:46:30.733,26.274,26.342,26.492,26.363,uploaded:Log_192.168.77.10_2025_08_15.txt
2025-08-15 19:46:31.733,26.27,26.338,26.488,26.359,uploaded:Log_192.168.77.10_2025_08_15.txt
2025-08-15 19:46:32.734,26.265,26.333,26.484,26.355,uploaded:Log_192.168.77.10_2025_08_15.txt
2025-08-15 19:46:33.734,26.261,26.329,26.478,26.351,uploaded:Log_192.168.77.10_2025_08_15.txt
2025-08-15 19:46:34.735,26.258,26.325,26.473,26.346,uploaded:Log_192.168.77.10_2025_08_15.txt
2025-08-15 19:46:35.735,26.254,26.323,26.47,26.342,uploaded:Log_192.168.77.10_2025_08_15.txt
2025-08-15 19:46:36.736,26.249,26.319,26.464,26.339,uploaded:Log_192.168.77.10_2025_08_15.txt
2025-08-15 19:46:37.736,26.245,26.315,26.459,26.335,uploaded:Log_192.168.77.10_2025_08_15.txt
2025-08-15 19:46:38.737,26.241,26.311,26.456,26.331,uploaded:Log_192.168.77.10_2025_08_15.txt
2025-08-15 19:46:39.737,26.238,26.309,26.451,26.327,uploaded:Log_192.168.77.10_2025_08_15.txt
2025-08-15 19:46:40.738,26.233,26.305,26.447,26.324,uploaded:Log_192.168.77.10_2025_08_15.txt
2025-08-15 19:46:41.738,26.23,26.301,26.443,26.32,uploaded:Log_192.168.77.10_2025_08_15.txt
2025-08-15 19:46:42.738,26.226,26.296,26.44,26.317,uploaded:Log_192.168.77.10_2025_08_15.txt
2025-08-15 19:46:43.739,26.222,26.293,26.436,26.312,uploaded:Log_192.168.77.10_2025_08_15.txt
2025-08-15 19:46:44.739,26.218,26.29,26.43,26.308,uploaded:Log_192.168.77.10_2025_08_15.txt
2025-08-15 19:46:45.740,26.214,26.285,26.424,26.303,uploaded:Log_192.168.77.10_2025_08_15.txt
2025-08-15 19:46:46.740,26.209,26.281,26.419,26.3,uploaded:Log_192.168.77.10_2025_08_15.txt
2025-08-15 19:46:47.741,26.204,26.276,26.415,26.297,uploaded:Log_192.168.77.10_2025_08_15.txt
2025-08-15 19:46:48.741,26.2,26.272,26.41,26.291,uploaded:Log_192.168.77.10_2025_08_15.txt
2025-08-15 19:46:49.742,26.197,26.268,26.405,26.288,uploaded:Log_192.168.77.10_2025_08_15.txt
2025-08-15 19:46:50.742,26.192,26.264,26.401,26.284,uploaded:Log_192.168.77.10_2025_08_15.txt
2025-08-15 19:46:51.743,26.188,26.259,26.398,26.28,uploaded:Log_192.168.77.10_2025_08_15.txt
2025-08-15 19:46:52.744,26.184,26.255,26.394,26.275,uploaded:Log_192.168.77.10_2025_08_15.txt
2025-08-15 19:46:53.744,26.179,26.251,26.39,26.27,uploaded:Log_192.168.77.10_2025_08_15.txt
2025-08-15 19:46:54.744,26.174,26.248,26.386,26.266,uploaded:Log_192.168.77.10_2025_08_15.txt
2025-08-15 19:46:55.745,26.171,26.244,26.382,26.263,uploaded:Log_192.168.77.10_2025_08_15.txt
2025-08-15 19:46:56.745,26.167,26.239,26.378,26.26,uploaded:Log_192.168.77.10_2025_08_15.txt
2025-08-15 19:46:57.746,26.163,26.234,26.375,26.255,uploaded:Log_192.168.77.10_2025_08_15.txt
2025-08-15 19:46:58.746,26.16,26.23,26.373,26.251,uploaded:Log_192.168.77.10_2025_08_15.txt
2025-08-15 19:46:59.747,26.156,26.226,26.37,26.247,uploaded:Log_192.168.77.10_2025_08_15.txt
2025-08-15 19:47:00.747,26.151,26.222,26.366,26.243,uploaded:Log_192.168.77.10_2025_08_15.txt
2025-08-15 19:47:01.748,26.148,26.217,26.364,26.239,uploaded:Log_192.168.77.10_2025_08_15.txt
2025-08-15 19:47:02.748,26.144,26.213,26.36,26.235,uploaded:Log_192.168.77.10_2025_08_15.txt
2025-08-15 19:47:03.748,26.139,26.208,26.356,26.232,uploaded:Log_192.168.77.10_2025_08_15.txt
2025-08-15 19:47:04.749,26.134,26.203,26.352,26.228,uploaded:Log_192.168.77.10_2025_08_15.txt
2025-08-15 19:47:05.750,26.13,26.198,26.349,26.224,uploaded:Log_192.168.77.10_2025_08_15.txt
2025-08-15 19:47:06.750,26.125,26.195,26.346,26.219,uploaded:Log_192.168.77.10_2025_08_15.txt
2025-08-15 19:47:07.751,26.121,26.192,26.341,26.215,uploaded:Log_192.168.77.10_2025_08_15.txt
2025-08-15 19:47:08.751,26.117,26.187,26.336,26.211,uploaded:Log_192.168.77.10_2025_08_15.txt
2025-08-15 19:47:09.751,26.113,26.183,26.33,26.207,uploaded:Log_192.168.77.10_2025_08_15.txt
2025-08-15 19:47:10.752,26.107,26.179,26.325,26.202,uploaded:Log_192.168.77.10_2025_08_15.txt
2025-08-15 19:47:11.752,26.101,26.174,26.319,26.198,uploaded:Log_192.168.77.10_2025_08_15.txt
2025-08-15 19:47:12.753,26.096,26.17,26.315,26.193,uploaded:Log_192.168.77.10_2025_08_15.txt
2025-08-15 19:47:13.753,26.092,26.165,26.31,26.189,uploaded:Log_192.168.77.10_2025_08_15.txt
2025-08-15 19:47:14.754,26.087,26.16,26.306,26.185,uploaded:Log_192.168.77.10_2025_08_15.txt
2025-08-15 19:47:15.755,26.082,26.155,26.301,26.179,uploaded:Log_192.168.77.10_2025_08_15.txt
2025-08-15 19:47:16.755,26.078,26.15,26.297,26.174,uploaded:Log_192.168.77.10_2025_08_15.txt
2025-08-15 19:47:17.756,26.075,26.146,26.293,26.17,uploaded:Log_192.168.77.10_2025_08_15.txt
2025-08-15 19:47:18.756,26.072,26.142,26.289,26.165,uploaded:Log_192.168.77.10_2025_08_15.txt
2025-08-15 19:47:19.757,26.067,26.139,26.285,26.16,uploaded:Log_192.168.77.10_2025_08_15.txt
